6125,1
6125,4
7000,2
7000,3
8000,1
8250,2
8500,3
10000,4
10250,3
10500,2
11500,1
11500,4
12250,3
12250,2
13250,1
13750,4
14250,2
15250,1
15750,2
16250,1
18500,1
18500,4
19500,2
19500,3
20750,1
20750,4
21500,2
21500,3
22500,1
22750,2
23000,3
24500,4
24750,3
25000,2
26000,1
26000,4
26500,1
27000,2
28500,3
29000,3
29500,1
29750,2
30250,3
31500,4
31750,3
32000,2
33000,1
33000,4
33500,1
34000,2
34750,4
35250,2
35750,3
36250,1
36750,4
37250,2
38000,1
38250,2
38500,3
38750,4
39500,1
39750,2
40500,1
41000,4
41500,3
42000,2
42500,2
43000,3
43500,1
44000,4
44500,3
45000,2
45500,2
46000,3
46500,1
47000,2
47500,3
48000,2
48500,2
49000,1
49500,1
50000,3
50500,2
51000,1
51500,2
52000,3
52750,1
53000,2
53250,3
53500,4
54250,3
54500,2
54750,1
55250,3
55750,2
56250,1
56750,2
57250,3
58250,1
58250,4
58750,2
58750,3
59250,2
59750,1
60250,2
60750,3
61500,1
61500,2
62250,3
62250,4
63000,2
63500,1
64000,2
64500,3
66000,1
66500,2
67000,3
67500,4
68000,2
68500,1
69000,2
69250,3
69750,1
70250,2
70750,3
71250,4
71750,2
72250,1
72750,2
73250,3
74250,1
74750,4
75250,3
75750,2
76250,1
76750,1
77250,4
77750,4
78250,2
78750,2
